Guest logKexpt ChemPLP_Score Guest logKexpt ChemPLP_Score Guest logKexpt ChemPLP_Score
1 3.49 49.81 19 4.28 45.54 37 4.90 53.86
2 1.15 39.49 20 3.94 50.66 38 4.30 57.79
3 3.83 48.47 21 1.15 47.52 39 4.00 49.12
4 1.87 38.88 22 1.73 38.51 40 1.95 45.94
5 3.96 47.67 23 2.11 39.26 41 2.08 53.28
6 1.52 35.61 24 2.62 40.55 42 -1.00 54.68
7 3.88 47.96 25 3.32 44.58 43 3.70 43.31
8 5.00 53.35 26 3.60 46.56 44 3.60 44.45
9 1.86 40.64 27 4.04 46.04 45 3.60 42.13
10 3.49 38.32 28 5.15 53.94 46 3.48 45.25
11 2.83 43.45 29 6.08 59.72 47 1.78 49.63
12 2.18 40.87 30 5.18 62.76 48 3.60 46.59
13 1.48 41.77 31 -1.00 62.48 49 2.41 46.87
14 4.30 57.43 32 -1.00 64.03 50 2.30 44.66
15 4.20 54.43 33 -1.00 58.15 51 0.48 40.70
16 4.88 52.62 34 -1.00 47.30 52 0.70 42.40
17 3.98 50.59 35 -1.00 45.61 53 0.90 39.14
18 5.26 46.88 36 4.30 49.32 54 0.70 46.49
