Guest logKexpt logKcalc Guest logKexpt logKcalc Guest logKexpt logKcalc
1 3.49 4.02 19 4.28 3.58 37 4.90 3.02
2 1.15 2.20 20 3.94 3.52 38 4.30 3.82
3 3.83 3.75 21 1.15 2.40 39 4.00 3.95
4 1.87 2.83 22 1.73 2.85 40 1.95 3.58
5 3.96 3.62 23 2.11 2.87 41 2.08 1.75
6 1.52 2.24 24 2.62 3.10 42 -1.00 -1.00
7 3.88 3.72 25 3.32 3.43 43 3.70 2.81
8 5.00 4.20 26 3.60 3.55 44 3.60 2.89
9 1.86 2.70 27 4.04 3.56 45 3.60 3.00
10 3.49 2.50 28 5.15 4.42 46 3.48 2.90
11 2.83 2.12 29 6.08 5.24 47 1.78 0.71
12 2.18 2.59 30 5.18 5.93 48 3.60 3.57
13 1.48 1.39 31 -1.00 -1.06 49 2.41 2.56
14 4.30 4.95 32 -1.00 -0.83 50 2.30 3.66
15 4.20 3.08 33 -1.00 -0.51 51 0.48 2.29
16 4.88 4.50 34 -1.00 -1.83 52 0.70 2.19
17 3.98 3.97 35 -1.00 -0.10 53 0.90 1.58
18 5.26 3.88 36 4.30 4.15 54 0.70 1.41

