Guest Ligand_clash Ligand_torsion Part_buried Non-polar Ligand_flexibility
1 0 0 -2.109 -43.3137 0
2 0 0 -3.0465 -27.4388 0
3 0 0 -2.4099 -41.2634 0
4 0 0 -2.26 -32.0514 0
5 0 0 -2.7351 -40.6438 0
6 0 0 -3.1134 -27.9508 0
7 0 0 -2.4121 -41.0365 0
8 0 0 -2.7123 -46.2622 0
9 0 0 -3.4782 -33.1938 0
10 0 0 -2.9428 -30.1587 0
11 0 0 -4.2726 -29.1526 0
12 0 0 -3.4382 -32.0023 0
13 0 0 -4.6213 -22.7748 0
14 0 0.6359 -0.5272 -52.666 1
15 0 0.2683 -1.9122 -49.4866 2
16 0 0 -1.2999 -46.3249 0
17 0 0 -2.2249 -43.0767 0
18 0 0 -1.7939 -41.3553 0
19 0 0 -1.7048 -38.256 0
20 0 0.3499 -2.0598 -44.3617 1
21 0 0 -1.9986 -27.2969 0
22 0 0 -2.2161 -32.0919 0
23 0 0 -2.1068 -32.1512 0
24 0 0 -1.9886 -34.0851 0
25 0 0 -2.0557 -37.4516 0
26 0 0 -2.2293 -39.0059 0
27 0 0 -2.0968 -38.8338 0
28 0 0 -2.0458 -47.1174 0
29 0 0 -1.708 -54.4098 0
30 0 0 -1.1725 -60.0173 0
31 0 0.2147 -2.2221 -55.531 7
32 0 0.0484 -2.0233 -58.793 7
33 0 0.6156 -3.0882 -50.0399 6
34 0 0.0352 -2.0632 -40.2044 6
35 0 0.0866 -2.1602 -38.7078 4
36 0 0 -0.9723 -42.3058 0
37 0 0.0052 -3.5062 -45.4026 1
38 0 0.0084 -2.1935 -50.4456 1
39 0 0 -2.1185 -42.6227 0
40 0 0.015 -2.6923 -49.133 1
41 0 0.9904 -4.0205 -43.4843 3
42 1.7813 0.028 8.9078 -58.9343 1
43 0 0 -3.5162 -34.3235 0
44 0 0 -4.146 -36.4154 0
45 0 0 -2.6802 -34.5214 0
46 0 0 -4.0999 -36.3648 0
47 0 0.0005 -4.053 -33.0628 2
48 0 0 -2.2123 -39.1164 0
49 0 0 -4.1075 -33.1122 0
50 0 0 -1.7961 -39.1621 0
51 0 0 -3.4414 -29.1303 0
52 0 0.0019 -2.1997 -34.6724 1
53 0 0.0016 -3.0278 -30.4643 1
54 0 0.0108 -2.7451 -37.1465 2
55 0 0 3.0391 -72.2022 1
56 0 0 0 -61.7662 0
57 0 0 0 -61.1466 0
58 0 0 -0.74033 -59.7962 0
59 0 0 -1.35915 -58.5762 0
60 0 0 -0.9865 -57.2076 0
61 0 1.0855 3.3839 -58.3369 1
62 0 0 -4.59413 -40.9762 0
63 0 0.0005 -1.2025 -60.3498 2
64 0 0 0 -39.5214 0
65 0 0 -0.5568 -40.2497 0
66 0 0 -0.5162 -49.7484 1
67 0 0 -1.783 -35.1129 0
68 0 0.0812 -3.8245 -33.5117 2
69 0 0.0011 -3.823 -41.0994 1
